Method Name,Return Type,Arguments
charAt,char,"int"
chars,java.util.stream.IntStream,""
checkBoundsBeginEnd,void,"int, int, int"
checkBoundsOffCount,void,"int, int, int"
checkIndex,void,"int, int"
checkOffset,void,"int, int"
codePointAt,int,"int"
codePointBefore,int,"int"
codePointCount,int,"int, int"
codePoints,java.util.stream.IntStream,""
coder,byte,""
compareTo,int,"java.lang.Object"
compareTo,int,"java.lang.String"
compareToIgnoreCase,int,"java.lang.String"
concat,java.lang.String,"java.lang.String"
contains,boolean,"java.lang.CharSequence"
contentEquals,boolean,"java.lang.StringBuffer"
contentEquals,boolean,"java.lang.CharSequence"
copyValueOf,java.lang.String,"char[], int, int"
copyValueOf,java.lang.String,"char[]"
decode2,char,"int, int"
decode3,char,"int, int, int"
decode4,int,"int, int, int, int"
decodeASCII,int,"byte[], int, char[], int, int"
decodeUTF8_UTF16,int,"byte[], int, int, byte[], int, boolean"
decodeWithDecoder,int,"java.nio.charset.CharsetDecoder, char[], byte[], int, int"
describeConstable,java.util.Optional,""
encode,byte[],"java.nio.charset.Charset, byte, byte[]"
encode8859_1,byte[],"byte, byte[], boolean"
encode8859_1,byte[],"byte, byte[]"
encodeASCII,byte[],"byte, byte[]"
encodeUTF8,byte[],"byte, byte[], boolean"
encodeUTF8_UTF16,byte[],"byte[], boolean"
encodeWithEncoder,byte[],"java.nio.charset.Charset, byte, byte[], boolean"
endsWith,boolean,"java.lang.String"
equals,boolean,"java.lang.Object"
equalsIgnoreCase,boolean,"java.lang.String"
format,java.lang.String,"java.lang.String, java.lang.Object[]"
format,java.lang.String,"java.util.Locale, java.lang.String, java.lang.Object[]"
formatted,java.lang.String,"java.lang.Object[]"
getBytes,byte[],""
getBytes,void,"byte[], int, byte"
getBytes,void,"byte[], int, int, byte, int"
getBytes,byte[],"java.lang.String"
getBytes,byte[],"java.nio.charset.Charset"
getBytes,void,"int, int, byte[], int"
getBytesNoRepl,byte[],"java.lang.String, java.nio.charset.Charset"
getBytesNoRepl1,byte[],"java.lang.String, java.nio.charset.Charset"
getBytesUTF8NoRepl,byte[],"java.lang.String"
getChars,void,"int, int, char[], int"
hashCode,int,""
indent,java.lang.String,"int"
indexOf,int,"byte[], byte, int, java.lang.String, int"
indexOf,int,"java.lang.String, int"
indexOf,int,"java.lang.String"
indexOf,int,"int, int"
indexOf,int,"int"
indexOfNonWhitespace,int,""
intern,java.lang.String,""
isASCII,boolean,"byte[]"
isBlank,boolean,""
isEmpty,boolean,""
isLatin1,boolean,""
isMalformed3,boolean,"int, int, int"
isMalformed3_2,boolean,"int, int"
isMalformed4,boolean,"int, int, int"
isMalformed4_2,boolean,"int, int"
isMalformed4_3,boolean,"int"
isNotContinuation,boolean,"int"
join,java.lang.String,"java.lang.String, java.lang.String, java.lang.String, java.lang.String[], int"
join,java.lang.String,"java.lang.CharSequence, java.lang.CharSequence[]"
join,java.lang.String,"java.lang.CharSequence, java.lang.Iterable"
lambda$indent$0,java.lang.String,"java.lang.String, java.lang.String"
lambda$indent$1,java.lang.String,"java.lang.String"
lambda$indent$2,java.lang.String,"int, java.lang.String"
lambda$stripIndent$3,java.lang.String,"int, java.lang.String"
lastIndexOf,int,"byte[], byte, int, java.lang.String, int"
lastIndexOf,int,"java.lang.String, int"
lastIndexOf,int,"java.lang.String"
lastIndexOf,int,"int, int"
lastIndexOf,int,"int"
lastIndexOfNonWhitespace,int,""
length,int,""
lines,java.util.stream.Stream,""
lookupCharset,java.nio.charset.Charset,"java.lang.String"
malformed3,int,"byte[], int"
malformed4,int,"byte[], int"
matches,boolean,"java.lang.String"
newStringNoRepl,java.lang.String,"byte[], java.nio.charset.Charset"
newStringNoRepl1,java.lang.String,"byte[], java.nio.charset.Charset"
newStringUTF8NoRepl,java.lang.String,"byte[], int, int"
nonSyncContentEquals,boolean,"java.lang.AbstractStringBuilder"
offsetByCodePoints,int,"int, int"
outdent,int,"java.util.List"
rangeCheck,java.lang.Void,"char[], int, int"
regionMatches,boolean,"boolean, int, java.lang.String, int, int"
regionMatches,boolean,"int, java.lang.String, int, int"
repeat,java.lang.String,"int"
replace,java.lang.String,"char, char"
replace,java.lang.String,"java.lang.CharSequence, java.lang.CharSequence"
replaceAll,java.lang.String,"java.lang.String, java.lang.String"
replaceFirst,java.lang.String,"java.lang.String, java.lang.String"
resolveConstantDesc,java.lang.Object,"java.lang.invoke.MethodHandles$Lookup"
resolveConstantDesc,java.lang.String,"java.lang.invoke.MethodHandles$Lookup"
safeTrim,byte[],"byte[], int, boolean"
scale,int,"int, float"
split,java.lang.String[],"java.lang.String, int"
split,java.lang.String[],"java.lang.String"
startsWith,boolean,"java.lang.String, int"
startsWith,boolean,"java.lang.String"
strip,java.lang.String,""
stripIndent,java.lang.String,""
stripLeading,java.lang.String,""
stripTrailing,java.lang.String,""
subSequence,java.lang.CharSequence,"int, int"
substring,java.lang.String,"int, int"
substring,java.lang.String,"int"
throwMalformed,void,"byte[]"
throwMalformed,void,"int, int"
throwUnmappable,void,"byte[]"
throwUnmappable,void,"int"
toCharArray,char[],""
toLowerCase,java.lang.String,""
toLowerCase,java.lang.String,"java.util.Locale"
toString,java.lang.String,""
toUpperCase,java.lang.String,""
toUpperCase,java.lang.String,"java.util.Locale"
transform,java.lang.Object,"java.util.function.Function"
translateEscapes,java.lang.String,""
trim,java.lang.String,""
value,byte[],""
valueOf,java.lang.String,"boolean"
valueOf,java.lang.String,"char"
valueOf,java.lang.String,"char[], int, int"
valueOf,java.lang.String,"char[]"
valueOf,java.lang.String,"java.lang.Object"
valueOf,java.lang.String,"double"
valueOf,java.lang.String,"float"
valueOf,java.lang.String,"int"
valueOf,java.lang.String,"long"
valueOfCodePoint,java.lang.String,"int"
